Title,Link,Description,Date & Time,Cost,Location
New York Flutter Developer Meetup,https://www.meetup.com/flutter-nyc/,"This group is for software developers interested in Flutter, Google’s new framework for building native cross-platform mobile, desktop, and web apps. Whether you are just starting a new Flutter project, or an experienced dev looking to discuss advanced topics, this is where you belong! Speakers wanted -- send us your ideas (https://goo.gl/forms/PBAZOtU0xrgnKfD72)!We are happy to be sponsored by the global leaders in Flutter development right here in NYC, Very Good Ventures (https://verygood.ventures). Want to talk apps & Flutter? Interested in joining the team?","Mon, Apr 20, 7:00 PM EDT",FREE,"New York, NY"
VueNYC,https://www.meetup.com/vueJsNYC/,"VueJS is the most popular UI framework in the world (counting by amount of stars on GitHub).VueNYC is the first meetup in New York City that focuses on VueJS and its ecosystem.• Subscribe to our YouTube channel (youtube.com/VueNYC) (https://youtube.com/VueNYC)• Support Vue on OpenCollective (https://opencollective.com/vuejs)Are you using Vue or considering it? Let's meet to share our experiences, ideas and practices!If you'd like to speak, host, or sponsor, please reach out to us at vuejs.nyc!👨‍👩‍👧‍👦👩‍👩‍👧‍👦👨‍👨‍👦‍👦Code of Conduct: 👩‍👩‍👧‍👧👨‍👨‍👧‍👦👨‍👩‍👧‍👧Thank you for your part in helping us cultivate a harassment-free experience for everyone regardless of gender, gender identity and expression, age, sexual orientation, disability, physical appearance, body size, race, ethnicity, religion (or lack thereof), or technology choices. We do not tolerate harassment of our members or organizers.Be kind to others. While VueNYC is a professional community, it's also a community of friends. We ask you to be aware of the fact that conversations that may be appropriate within the context of a specific friendship may not be appropriate in a public space or with someone you don't know well.Be careful in the words that you choose. Remember that sexist, racist, and other exclusionary jokes can hurt those around you.-----We also follow the Recurse Center's social rules, which are summarized below:- No well-actually’s- No feigned surprise- No backseat driving- No subtle -ismsThe social rules are lightweight. You should not be afraid of breaking a social rule. These are things that everyone does, and breaking one doesn’t make you a bad person. If someone says, ""hey, you just feigned surprise,"" or ""that’s subtly sexist,"" don’t worry. Just apologize, reflect for a second, and move on.","Tue, May 26, 6:00 PM EDT",FREE,"New York, NY"
A Mindful Life Maplewood,https://www.meetup.com/AMindfulLifeMeditation/,"Dedicated to practices of mindfulness, A Mindful Life (originally the Maplewood/South Orange Mindfulness Meditation Group) offers facilitated groups and classes in the Maplewood, South Orange, and Millburn areas of NJ. Whether you are a longtime meditator or new to the practice, you are welcome to join us. Depending on the group, varying levels of instruction will be given. Together, we can practice staying grounded in the present moment by stopping, focusing on our breathing, and observing our thoughts and feelings without getting lost in them. By sitting and walking in this way, we can gain clarity, spaciousness and the ability to stay present to whatever arises without reacting habitually. By continually practicing with the support of community, our commitment to living mindfully is strengthened and our concentration deepens. There will be guided and silent sittings and a period of walking meditation, along with a reading and time to share and practice mindful speech and listening. The practice is influenced by the teachings of Thich Nhat Hanh, Pema Chodron, and the teachers of the Insight Meditation tradition. No advanced registration is required for the Sunday evening group.","Sun, May 17, 7:30 PM EDT",FREE,"Maplewood, NJ"
NYC.JS,https://www.meetup.com/NYC-JS/,"We love JavaScript, open web tech, and mobile web and hybrid mobile apps!NYC.JS is a 'by developer, for developer' format where an engaged group of technologists come together to discuss and debate best practices (and frustrations) building apps with JavaScript/HTML5 frameworks.This group is for developers and product teams that want to share knowledge, enhance their JS framework understanding, crowdsource solutions to challenging problems, and meet like minded developers.Folks from all product development/tech backgrounds are welcome, with the only caveat that IT Recruiters are discouraged from joining and spamming the group members.Developers, designers and Product people are all welcome. Our only 'rule' is no head hunters or recruiters can join or recruit on our site or at events.best,Pat Sheridan, organizer","Wed, Jul 26, 7:00 PM EDT",FREE,"New York, NY"
MEAN Stack NYC,https://www.meetup.com/MEAN-Stack-NYC/,"This meetup was first started for developers curious about learning about and building with the MEAN stack, which is a stack that leverages MongoDB, Express, Angular and Node to build web applications. The organizer of this meetup has since moved on to using the MERN Stack (MongoDB, Express, React and Node) and is currently dabbling more into blockchain development and other languages and frameworks outside of the JS/Node ecosystem so we decided to make this meetup a general programming/web development meetup that leans heavily toward JS and web technologies. Topics that we have given talks on in the past that have been on TypeScript, Node, TensorFlow and a myriad of other topics so the group has since long deviated from the ""MEAN Stack"" framework slant. So, from this day on the ""MEAN"" in MEAN Stack NYC just means we'll be talking about mean stacks (i.e. whatever awesome stack of technologies people are using to build software these days).As always, experts and the curious are welcome to join!","Thu, Feb 20, 7:00 PM EST",FREE,"New York, NY"
JAMstack NYC,https://www.meetup.com/JAMstack-nyc/,"This is a group for professional web developers and designers looking to explore the benefits of modern web development architecture based on client-side JavaScript, reusable APIs, and prebuilt Markup.See the following for more information:www.thenewdynamic.org (http://www.thenewdynamic.org/)https://www.jamstack.nyc/https://twitter.com/thenewdynamic","Mon, Mar 23, 6:30 PM EDT",FREE,"New York, NY"
"Turbo 360 - NYC React, Redux, Node Meetup",https://www.meetup.com/turbo-360/,"Want to learn frontend development, backend development and iOS programming? In other words, want to be a full stack developer? This meetup is dedicated teaching students all areas of the ""stack."" Each week, we will demo a new concept live and explain the basics behind the implementation. Join us each week to learn something new, meet like-minded people, and begin your journey to becoming a full stack developer.Turbo 360 conducts development courses and short term workshops. If you want to start a career in programming or launch your startup, Turbo 360 can take you there. Visit Turbo 360 (https://www.turbo360.co) for more information.","Mon, Jul 2, 9:00 PM EDT",FREE,"New York, NY"
Full Stack Coding,https://www.meetup.com/fullstack-coding/,"About Full Stack Coding: We’re a coding group that is open to anyone interested in tech – whether you’re looking to make a career change, build on your existing skills, or simply want to explore what the tech space has to offer. Our members are from all walks of life and range from established tech professionals to small business owners and students alike.We focus our classes on real life use-cases so that our curriculum works for your career goals or small business. At our structured classes, you’ll walk away with direct access to companies ready to hire, real-life job skills, online resources for studying at home, and a community with other tech-minded individuals. During our networking sessions, we connect our members directly to companies for potential hiring opportunities.Our meetings are hosted at a WeWork space (yes that means unlimited caffeine, and beer and kombucha on tap!) where we meet three times a week – Tuesdays, Thursdays, and Sundays. We made sure our classes work for people with a 9-5 schedule. If you’re new to Full Stack Coding, we recommend you join us on Sundays for our informal open office hours and networking session. More structured classes are also available for a small fee so that you can build your skills without breaking the bank. Check out our schedule and we hope to see you at our next Meetup!About myself: I’m Adam, a technical consultant working on enterprise applications for financial giants during the day, and owner of a successful cleaning business https://www.maidstay.com/ on the side. Most of my weekends are spent playing Super Smash Brothers and working on my Muay Thai technique. I started Full Stack Coding after feeling completely unprepared for the job market when I finished a popular coding bootcamp here in NYC, which also left me in debt. I want to help people use tech as an opportunity to get ahead in their lives the way it’s helped me.Frameworks I’m most familiar with:Frontend: Angular 2+, React, React native, VueBackend: Laravel, Drupal, Wordpress (kind of a backend framework haha), Flask, Django, Go (language but whatever), Ruby on Rails, Node.jsAbout the other organizers:Sina is the Director of Engineering for a tech consulting firm, owner of https://www.colorcode.io/ , and makes a mean hot toddy. His podcast, The Drunk Web, features a series of conversations with web professionals, engineers, coders, designers, managers, execs, CEOs, and all the other wonderful people who make the web every day, over several hot toddies of course. You can find it at: https://www.thedrunkweb.com/","Tue, Jan 7, 7:00 PM EST",FREE,"New York, NY"
Build with Code - Brooklyn,https://www.meetup.com/Build-with-Code-Brooklyn/,"Whether you're an advanced coder or just getting started with JavaScript, we'd love to have you learn with us!","Wed, Oct 2, 8:00 PM EDT",FREE,"Brooklyn, NY"
TypeScript NYC,https://www.meetup.com/TypeScriptNYC/,"TypeScript is a popular programming language which adds static types to JavaScript. It can be used across the whole JavaScript ecosystem, and works well with tools such as React, Angular and NodeJS. TypeScript is JavaScript that scales.Come join us to learn about TypeScript, improve your understanding of the language, or share what you've learned. All levels of skill and experience with TypeScript are welcome.Chat with us in the #ts-nyc channel of the TypeScript Community Discord (https://discord.gg/ZjvtBsh).Code of conduct: We follow the JSConf code of conduct.","Thu, Feb 27, 7:00 PM EST",FREE,"New York, NY"
Code Immersives Presents,https://www.meetup.com/Code-Immersives-Presents/,"Code Immersives Meetups are code-alongs, usually in Javascript. Presentations will range from beginning level to more advanced, and will include code-alongs (bring your laptop), software development demos and discussion about Web development, programming and entrepreneurship. Presenters will include our own instructors, as well as special guests, such as start up founders, professional programmers, internet innovators, among others. Topics will include Javascript ES6, AJAX, Three.js, MERN Stack (Mongo.js, Express.js, React.js and Node.js), LAMP Stack (PHP-MySQL), Artificial Intelligence (AI), Application Programming Languages (API's) and Amazon Web Services (AWS) Cloud Architecture.LOCATION:Meetups will be held at:Code Immersives at Digital Film Academy630 9th Avenue (suite 901), New York, NY 10036.Right in midtown Manhattan between 44th & 45th Sts.","Tue, Dec 11, 6:00 PM EST",FREE,"New York, NY"
